name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
backports,3.6.4,None,https://rubygems.org/gems/backports/versions/3.6.4,MIT,New in 1.5,bosh,https://github.com/marcandre/backports/blob/master/LICENSE.txt,
daemons,1.1.9,1.1.9,https://github.com/thuehlinger/daemons,MIT,No change,bosh,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-xml,0.1.2,None,https://rubygems.org/gems/fog-xml,MIT,New in 1.5,bosh,,
fog-aws,0.0.7,None,https://rubygems.org/gems/fog-aws/versions/0.0.7,MIT,New in 1.5,bosh,,
fog-json,1.0.0,1.0.0,https://github.com/fog/fog-json,MIT,No change,bosh,,
fog-xml,0.1.0,None,https://rubygems.org/gems/fog-xml/versions/0.1.0,MIT,New in 1.5,bosh,,
fog-core,1.27.0,1.22,https://rubygems.org/gems/fog-core/versions/1.27.0,MIT,Version Changed,bosh,,,,,
yajl-ruby,0.8.2,0.8.2,https://github.com/brianmario/yajl-ruby,MIT,No change,bosh,,
CFPropertyList,2.2.0,None,https://rubygems.org/gems/CFPropertyList/versions/2.2.0,MIT,New in 1.5,bosh,https://github.com/ckruse/CFPropertyList/blob/master/LICENSE,
fog-brightbox,0.7.1,0.7.1,https://rubygems.org/gems/fog-brightbox,MIT,No change,bosh,,
bcrypt-ruby,3.0.1,3.0.1,https://github.com/codahale/bcrypt-ruby,MIT,No change,bosh,,
fog-core,1.22.0,1.22,https://rubygems.org/gems/fog-core/versions/1.22.0,MIT,Version Changed,bosh,,,,mark,
fission,0.5.0,None,https://rubygems.org/gems/fission/versions/0.5.0,MIT,New in 1.5,bosh,https://github.com/thbishop/fission/blob/master/LICENSE,
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,bosh,,,,,
rest-client,1.6.7,1.6.7,https://github.com/rest-client/rest-client,MIT,No change,bosh,,
fog-core,1.30.0,1.22,https://rubygems.org/gems/fog-core/versions/1.30.0,MIT,Version Changed,bosh,,,,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,bosh,,
excon,0.45.0,0.39.5,https://rubygems.org/gems/excon/versions/0.45.0,MIT,Version Changed,bosh,,,,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,bosh,,,,,
net-scp,1.1.0,1.1.2,https://rubygems.org/gems/net-scp/versions/1.1.0,MIT,Version Changed,bosh,,,,,
fog-ecloud,0.1.1,None,https://rubygems.org/gems/fog-ecloud/versions/0.1.1,MIT,New in 1.5,bosh,,
fog-json,1.0.1,1.0.0,https://rubygems.org/gems/fog-json/versions/1.0.1,MIT,Version Changed,bosh,,,,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-xml,0.1.2,None,https://rubygems.org/gems/fog-xml,MIT,New in 1.5,bosh,,
fog-profitbricks,0.0.2,None,https://rubygems.org/gems/fog-profitbricks/versions/0.0.2,MIT,New in 1.5,bosh,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-xml,0.1.2,None,https://rubygems.org/gems/fog-xml,MIT,New in 1.5,bosh,,
nokogiri,1.6.6.2,1.5,https://rubygems.org/gems/nokogiri,MIT,Version Changed,bosh,,,,,
fog-radosgw,0.0.4,None,https://rubygems.org/gems/fog-radosgw/versions/0.0.4,MIT,New in 1.5,bosh,,
fog-core,1.21.0,1.22,https://rubygems.org/gems/fog-core/versions/1.21.0,MIT,Version Changed,bosh,,,,,
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,bosh,,,,,
fog-sakuracloud,1.0.1,None,https://rubygems.org/gems/fog-sakuracloud/versions/1.0.1,MIT,New in 1.5,bosh,,
fog-serverlove,0.1.2,None,https://rubygems.org/gems/fog-serverlove/versions/0.1.2,MIT,New in 1.5,bosh,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,bosh,,,,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-softlayer,0.4.6,0.3.26,https://rubygems.org/gems/fog-softlayer/versions/0.4.6,MIT,Version Changed,bosh,,,,,
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,bosh,,,,,
fog-storm_on_demand,0.1.1,None,https://rubygems.org/gems/fog-storm_on_demand/versions/0.1.1,MIT,New in 1.5,bosh,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
addressable,2.0.0,2.0.0,https://github.com/sporkmonger/addressable,APACHE 2.0,No change,bosh,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,bosh,,,,,
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,bosh,,,,,
fog-terremark,0.1.0,None,https://rubygems.org/gems/fog-terremark/versions/0.1.0,MIT,New in 1.5,bosh,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-xml,0.1.2,None,https://rubygems.org/gems/fog-xml,MIT,New in 1.5,bosh,,
fog-vmfusion,0.1.0,None,https://rubygems.org/gems/fog-vmfusion/versions/0.1.0,MIT,New in 1.5,bosh,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-xml,0.1.2,None,https://rubygems.org/gems/fog-xml,MIT,New in 1.5,bosh,,
fog-voxel,0.1.0,None,https://rubygems.org/gems/fog-voxel/versions/0.1.0,MIT,New in 1.5,bosh,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-xml,0.1.2,None,https://rubygems.org/gems/fog-xml,MIT,New in 1.5,bosh,,
net-ssh,2.1.3,2.1.3,https://github.com/net-ssh/net-ssh,MIT,No change,bosh,,
fog-core,1.32.0,1.22,https://rubygems.org/gems/fog-core,MIT,Version Changed,bosh,,,,,
fog-xml,0.1.2,None,https://rubygems.org/gems/fog-xml/versions/0.1.2,MIT,New in 1.5,bosh,,
nokogiri,1.5.11,1.5.11,https://github.com/sparklemotion/nokogiri,MIT,No change,bosh,,
eventmachine,1.0.3,1.0.3,https://github.com/eventmachine/eventmachine,Ruby License,No change,bosh,,
highline,1.6.21,1.6.21,https://github.com/JEG2/highline,GPL-2,No change,bosh,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,bosh,,
formatador,0.2.0,0.2,https://rubygems.org/gems/formatador/versions/0.2.0,MIT,Version Changed,bosh,https://github.com/geemus/formatador/blob/master/LICENSE.md,,,mark,
json,1.7.7,1.7.7,https://github.com/flori/json,RUBY,No change,bosh,,
json_pure,1.8.1,1.8.1,https://github.com/flori/json,RUBY,No change,bosh,,
multi_json,1.8.4,1.8.4,https://github.com/intridea/multi_json,MIT,No change,bosh,,
inflecto,0.0.2,0.0.2,https://github.com/mbj/inflecto,MIT,No change,bosh,,
mini_portile,0.6.2,None,https://rubygems.org/gems/mini_portile/versions/0.6.2,MIT,New in 1.5,bosh,,
ipaddress,0.8.0,0.8.0,https://github.com/bluemonk/ipaddress,MIT,No change,bosh,,
daemons,1.0.9,1.0.9,https://github.com/thuehlinger/daemons,MIT,No change,bosh,,
multi_json,1.0.0,1.8.4,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,Version Changed,bosh,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
sinatra,1.4.0,0.9.2,https://rubygems.org/gems/sinatra/versions/1.4.0,MIT,Version Changed,bosh,https://github.com/sinatra/sinatra/blob/master/LICENSE,,,,
ipaddress,0.5.0,0.8.0,https://rubygems.org/gems/ipaddress/versions/0.5.0,MIT,Version Changed,bosh,https://github.com/bluemonk/ipaddress/blob/master/LICENSE.txt,,,,
mono_logger,1.1.0,1.1.0,https://github.com/steveklabnik/mono_logger,MIT,No change,bosh,,
multi_json,1.11.1,1.8.4,https://rubygems.org/gems/multi_json/versions/1.11.1,MIT,Version Changed,bosh,,,,,
rack,1.4.0,1.6.0,https://rubygems.org/gems/rack/versions/1.4.0,MIT,Version Changed,bosh,https://github.com/rack/rack/blob/master/COPYING,,,,
yajl-ruby,1.2.1,1.2.1,https://github.com/brianmario/yajl-ruby,MIT,No change,bosh,,
json_pure,1.8.0,1.8.0,https://github.com/flori/json,RUBY,No change,bosh,,
net-scp,1.1.2,1.1.2,https://github.com/net-ssh/net-scp,MIT,No change,bosh,,
rugged,0.19.0,0.19.0,https://github.com/libgit2/rugged,MIT,No change,bosh,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,bosh,,,,,
net-ssh,2.6.5,2.6.5,https://github.com/net-ssh/net-ssh,MIT,No change,bosh,,
net-ssh,2.9.1,2.9.1,https://github.com/net-ssh/net-ssh,MIT,No change,bosh,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,bosh,,
addressable,2.3.6,2.0.0,https://rubygems.org/gems/addressable/versions/2.3.6,Apache License 2.0,Version Changed,bosh,,,,,
webmock,1.20.4,1.11.0,https://rubygems.org/gems/webmock/versions/1.20.4,MIT,Version Changed,bosh,,,,,
vcr,2.9.3,2.7.0,https://rubygems.org/gems/vcr/versions/2.9.3,MIT,Version Changed,bosh,,,,,
docile,1.1.0,1.1.0,https://github.com/ms-ati/docile,MIT,No change,bosh,,
nokogiri,1.6.6.2,1.5,https://rubygems.org/gems/nokogiri/versions/1.6.6.2,MIT,Version Changed,bosh,,,,,
net-ssh,2.6.5,2.6.5,https://github.com/net-ssh/net-ssh,MIT,No change,bosh,,
mini_portile,0.6.0,None,https://rubygems.org/gems/mini_portile/versions/0.6.0,MIT,New in 1.5,bosh,,
parallel,0.9.2,0.9.2,https://github.com/grosser/parallel,MIT,No change,bosh,,
parallel_tests,1.0.3,1.0.3,https://github.com/grosser/parallel,MIT,No change,bosh,,
parser,2.1.9,2.1.9,https://github.com/whitequark/parser,MIT,No change,bosh,,
sinatra-contrib,1.4.2,None,https://rubygems.org/gems/sinatra-contrib/versions/1.4.2,MIT,New in 1.5,bosh,https://github.com/sinatra/sinatra-contrib/blob/master/LICENSE,
multi_json,1.0.0,1.8.4,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,Version Changed,bosh,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
slop,3.4.5,3.4.5,https://github.com/leejarvis/slop,MIT,No change,bosh,,
fission,0.5.0,None,https://rubygems.org/gems/fission,MIT,New in 1.5,bosh,https://github.com/thbishop/fission/blob/master/LICENSE,
pg,0.15.1,0.15.1,https://rubygems.org/gems/pg,BSD,No change,bosh,,
inflecto,0.0.2,0.0.2,https://github.com/mbj/inflecto,MIT,No change,bosh,,
gibberish,1.4.0,1.2.2,https://rubygems.org/gems/gibberish/versions/1.4.0,MIT,Version Changed,bosh,https://github.com/mdp/gibberish/blob/master/LICENSE,,,,
formatador,0.2.5,0.2.5,https://github.com/geemus/formatador,MIT,No change,bosh,,
powerpack,0.0.9,0.0.9,https://github.com/bbatsov/powerpack,MIT,No change,bosh,,
pry,0.10.1,None,https://rubygems.org/gems/pry/versions/0.10.1,MIT,New in 1.5,bosh,,
tzinfo,1.2.2,1.2.2,https://github.com/tzinfo/tzinfo,MIT,No change,bosh,,
coderay,1.1.0,None,https://rubygems.org/gems/coderay/versions/1.1.0,MIT,New in 1.5,bosh,,
parallel,1.6.1,1.3.3,https://rubygems.org/gems/parallel,MIT,Version Changed,bosh,,,,,
sinatra,0.9.2,0.9.2,https://github.com/sinatra/sinatra,MIT,No change,bosh,,
daemons,1.1.9,1.1.9,https://github.com/thuehlinger/daemons,MIT,No change,bosh,,
rack,1.6.0,1.6.0,https://github.com/rack/rack,MIT,No change,bosh,,
rack-protection,1.5.3,1.5.3,https://github.com/rkh/rack-protection,MIT,No change,bosh,,
rack,1.6.4,1.6.0,https://rubygems.org/gems/rack,MIT,Version Changed,bosh,,,,,
rake,10.3.2,10.3.2,https://github.com/jimweirich/rake,MIT,No change,bosh,,
timecop,0.7.3,0.6.1,https://rubygems.org/gems/timecop/versions/0.7.3,MIT,Version Changed,bosh,,,,,
rainbow,2.0.0,2.0.0,https://github.com/sickill/rainbow,MIT,No change,bosh,,
mono_logger,1.0.0,1,https://rubygems.org/gems/mono_logger/versions/1.0.0,ASL,Version Changed,bosh,,,,,
resque-backtrace,0.0.1,0.0.1,https://github.com/resque/resque-backtrace,MIT,No change,bosh,,
mysql2,0.3.11,0.3.11,https://github.com/brianmario/mysql2,MIT,No change,bosh,,
rspec,3.0.0,3.0.0,https://github.com/rspec/rspec,MIT,No change,bosh,,
tilt,1.4.1,1.4.1,https://github.com/rtomayko/tilt,MIT,No change,bosh,,
ipaddress,0.8.0,0.8.0,https://github.com/bluemonk/ipaddress,MIT,No change,bosh,,
eventmachine,1.0.3,1.0.3,https://github.com/eventmachine/eventmachine,Ruby License,No change,bosh,,
thread_safe,0.3.5,0.3.4,https://rubygems.org/gems/thread_safe/versions/0.3.5,Apache-2.0,Version Changed,bosh,,,,,
tilt,2.0.1,1.4.1,https://rubygems.org/gems/tilt,MIT,Version Changed,bosh,,,,,
rspec-core,3.0.0,3.0.0,https://github.com/rspec/rspec-core,MIT,No change,bosh,,
rspec-expectations,3.0.0,3.0.0,https://github.com/rspec/rspec-expectations,MIT,No change,bosh,,
redis,3.0.3,3.0.3,https://github.com/redis/redis-rb,MIT,No change,bosh,,
rspec-mocks,3.0.0,3.0.0,https://github.com/rspec/rspec-mocks,MIT,No change,bosh,,
rspec-core,3.0.4,2.99.0.beta1,https://rubygems.org/gems/rspec-core/versions/3.0.4,MIT,Version Changed,bosh,,,,,
rest-client,1.6.7,1.6.7,https://github.com/rest-client/rest-client,MIT,No change,bosh,,
rspec-support,3.0.0,3.0.0,https://github.com/rspec/rspec-support,MIT,No change,bosh,,
