name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
tilt,2.0.1,1.4.1,https://rubygems.org/gems/tilt,MIT,Version Changed,cf-mysql-broker,,,,,
highline,1.6.21,None,https://rubygems.org/gems/highline/versions/1.6.21,Ruby,New in 1.5,cf-mysql-broker,,
hashie,3.4.2,1.2,https://rubygems.org/gems/hashie/versions/3.4.2,MIT,Version Changed,cf-mysql-broker,,,,,
i18n,0.7.0,0.6.5,https://rubygems.org/gems/i18n/versions/0.7.0,MIT,Version Changed,cf-mysql-broker,,,,,
sass,3.4.16,3.2.0,https://rubygems.org/gems/sass,MIT,Version Changed,cf-mysql-broker,,,,,
tzinfo,0.3.44,0.3.31,https://rubygems.org/gems/tzinfo/versions/0.3.44,MIT,Version Changed,cf-mysql-broker,,,,,
json,1.8.3,None,https://rubygems.org/gems/json/versions/1.8.3,Ruby,New in 1.5,cf-mysql-broker,,
json_pure,1.8.2,1.8.1,https://rubygems.org/gems/json_pure/versions/1.8.2,Ruby,Version Changed,cf-mysql-broker,,,,,
multi_json,1.2.0,1,https://rubygems.org/gems/multi_json/versions/1.2.0,MIT,Version Changed,cf-mysql-broker,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
kgio,2.9.3,2.8.1,https://rubygems.org/gems/kgio/versions/2.9.3,LGPL-2.1+,Version Changed,cf-mysql-broker,,,,,
unicorn,4.9.0,4.6.3,https://rubygems.org/gems/unicorn/versions/4.9.0,GPLv2+,Version Changed,cf-mysql-broker,,,,,
mail,2.6.3,2.5.3,https://rubygems.org/gems/mail/versions/2.6.3,MIT,Version Changed,cf-mysql-broker,,,,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types/versions/2.6.1,MIT,Version Changed,cf-mysql-broker,,,,,
multi_json,1.11.1,1,https://rubygems.org/gems/multi_json/versions/1.11.1,MIT,Version Changed,cf-mysql-broker,,,,,
mysql2,0.3.18,0.3.14,https://rubygems.org/gems/mysql2/versions/0.3.18,MIT,Version Changed,cf-mysql-broker,,,,,
omniauth,1.2.2,1.2.1,https://rubygems.org/gems/omniauth/versions/1.2.2,MIT,Version Changed,cf-mysql-broker,,,,,
rack,1.5.3,1.5.2,https://rubygems.org/gems/rack/versions/1.5.3,MIT,Version Changed,cf-mysql-broker,,,,,
power_assert,0.2.3,None,https://rubygems.org/gems/power_assert/versions/0.2.3,2-clause BSDL,New in 1.5,cf-mysql-broker,,
tilt,1.4.1,1.4.1,https://github.com/rtomayko/tilt,MIT,No change,cf-mysql-broker,,
rails,4.0.13,4.0.2,https://rubygems.org/gems/rails/versions/4.0.13,MIT,Version Changed,cf-mysql-broker,,,,,
actionmailer,4.0.13,4.0.0,https://rubygems.org/gems/actionmailer/versions/4.0.13,MIT,Version Changed,cf-mysql-broker,,,,,
multi_json,1.3.0,1,https://rubygems.org/gems/multi_json/versions/1.3.0,MIT,Version Changed,cf-mysql-broker,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,cf-mysql-broker,,,,,
thread_safe,0.3.5,0.1,https://rubygems.org/gems/thread_safe/versions/0.3.5,Apache-2.0,Version Changed,cf-mysql-broker,,,,,
thor,0.19.1,0.18.1,https://rubygems.org/gems/thor/versions/0.19.1,MIT,Version Changed,cf-mysql-broker,,,,,
actionpack,4.0.13,4.0.0,https://rubygems.org/gems/actionpack/versions/4.0.13,MIT,Version Changed,cf-mysql-broker,,,,,
activerecord,4.0.13,4.0.0,https://rubygems.org/gems/activerecord/versions/4.0.13,MIT,Version Changed,cf-mysql-broker,,,,,
activesupport,4.0.13,4.0.0,https://rubygems.org/gems/activesupport/versions/4.0.13,MIT,Version Changed,cf-mysql-broker,,,,,
tzinfo,0.3.37,0.3.37,https://github.com/tzinfo/tzinfo,MIT,No change,cf-mysql-broker,,
thin,1.6.3,1.6.1,https://rubygems.org/gems/thin/versions/1.6.3,GPLv2+,Version Changed,cf-mysql-broker,,,,,
