name,1.5version,1.4version,URL,license,Delta Information,repo_name
multi_json,1.1.0,1.1,https://rubygems.org/gems/multi_json/versions/1.1.0,MIT,Version Changed,cf-mongodb,https://github.com/intridea/multi_json/blob/master/LICENSE.md,https://github.com/intridea/multi_json
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,cf-mongodb,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,cf-mongodb,,
excon,0.45.3,0.40.0,https://rubygems.org/gems/excon/versions/0.45.3,MIT,Version Changed,cf-mongodb,,https://github.com/excon/excon
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,cf-mongodb,,https://github.com/halostatue/mime-types
websocket-driver,0.5.4,0.4.0,https://rubygems.org/gems/websocket-driver/versions/0.5.4,MIT,Version Changed,cf-mongodb,,https://github.com/faye/websocket-driver-ruby
faraday,0.9.1,0.7.4,https://rubygems.org/gems/faraday/versions/0.9.1,MIT,Version Changed,cf-mongodb,,https://github.com/lostisland/faraday
net-ssh,2.2.1,2.2.1,https://github.com/net-ssh/net-ssh,MIT,No change,cf-mongodb,,
multipart-post,1.2.0,1.2,https://rubygems.org/gems/multipart-post/versions/1.2.0,MIT,Version Changed,cf-mongodb,,https://github.com/nicksieger/multipart-post
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,cf-mongodb,,
aws-sdk,2.1.7,1.44.0,https://rubygems.org/gems/aws-sdk,Apache 2.0,Version Changed,cf-mongodb,,https://github.com/aws/aws-sdk-core-ruby
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,cf-mongodb,,https://github.com/fog/fog
fog-atmos,0.1.0,None,https://rubygems.org/gems/fog-atmos,MIT,New in 1.5,cf-mongodb,,
open4,1.3.4,1.3.4,https://github.com/ahoward/open4,Ruby License,No change,cf-mongodb,,
fog-brightbox,0.4.0,0.6.1,https://rubygems.org/gems/fog-brightbox/versions/0.4.0,MIT,Version Changed,cf-mongodb,,https://rubygems.org/gems/fog-brightbox
fog-core,1.27.3,1.22,https://rubygems.org/gems/fog-core/versions/1.27.3,MIT,Version Changed,cf-mongodb,,https://github.com/fog/fog-core
fog-ecloud,0.3.0,None,https://rubygems.org/gems/fog-ecloud,MIT,New in 1.5,cf-mongodb,,
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,cf-mongodb,,
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,cf-mongodb,,https://github.com/fog/fog-json
