beefcake,0.3.7
diff-lcs,1.1.3
eventmachine,1.0.3
grape,0.2.1
hashie,1.2
multi_json,
multi_xml,
rack,
rack-mount,
hashie,1.2.0
multi_json,1.3.6
multi_xml,0.5.1
pidfile,0.3.0
posix-spawn,0.3.6
rack,1.4.1
rack-mount,0.8.3
rack,1.0.0
rake,0.9.2.2
rspec,2.11.0
rspec-core,2.11.0
rspec-expectations,2.11.0
rspec-mocks,2.11.0
rspec-core,2.11.0
rspec-expectations,2.11.1
diff-lcs,1.1.3
rspec-mocks,2.11.1
yajl-ruby,1.2.1
