name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
rack,1.6.4,1,https://rubygems.org/gems/rack,MIT,Version Changed,cf-mongodb,,https://github.com/rack/rack
unicorn,4.8.3,None,https://rubygems.org/gems/unicorn/versions/4.8.3,GPLv2+,New in 1.5,cf-mongodb,,
atomic,1.1.99,None,https://rubygems.org/gems/atomic,Apache-2.0,New in 1.5,cf-mongodb,,
net-ssh,2.2.1,2.2.1,https://github.com/net-ssh/net-ssh,MIT,No change,cf-mongodb,,
ci_reporter,2.0.0,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT,No change,cf-mongodb,,
tilt,1.4.1,None,https://rubygems.org/gems/tilt/versions/1.4.1,MIT,New in 1.5,cf-mongodb,,
thread_safe,0.1.3,None,https://rubygems.org/gems/thread_safe/versions/0.1.3,Apache-2.0,New in 1.5,cf-mongodb,,
thor,0.18.1,0.19.1,https://rubygems.org/gems/thor/versions/0.18.1,MIT,Version Changed,cf-mongodb,,https://github.com/erikhuda/thor
slop,3.4.7,None,https://rubygems.org/gems/slop/versions/3.4.7,MIT,New in 1.5,cf-mongodb,,
cliver,0.3.2,0.3.2,https://github.com/yaauie/cliver,MIT,No change,cf-mongodb,,
coderay,1.1.0,None,https://rubygems.org/gems/coderay/versions/1.1.0,MIT,New in 1.5,cf-mongodb,,
docile,1.1.1,None,https://rubygems.org/gems/docile/versions/1.1.1,MIT,New in 1.5,cf-mongodb,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,cf-mongodb,,
excon,0.40.0,0.40.0,https://github.com/excon/excon,MIT,No change,cf-mongodb,,
tilt,1.3.4,None,https://rubygems.org/gems/tilt/versions/1.3.4,MIT,New in 1.5,cf-mongodb,,
faraday,0.9.0,0.9.0,https://github.com/lostisland/faraday,MIT,No change,cf-mongodb,,
faraday_middleware,0.9.1,0.9.1,https://github.com/lostisland/faraday_middleware,MIT,No change,cf-mongodb,,
rubyzip,1.1.7,1.1.6,https://rubygems.org/gems/rubyzip,BSD 2-Clause,Version Changed,cf-mongodb,,https://github.com/rubyzip/rubyzip
multipart-post,1.2.0,1.2,https://rubygems.org/gems/multipart-post/versions/1.2.0,MIT,Version Changed,cf-mongodb,,https://github.com/nicksieger/multipart-post
fog,1.23.0,1.23.0,https://github.com/fog/fog,MIT,No change,cf-mongodb,,
